x,y,z,slope
0,0,0,0.0904129
0,0,1,0.0840716
0,1,0,0.0907972
0,1,1,0.0836022
0,2,0,0.0906322
0,2,1,0.0845013
0,3,0,0.0908496
0,3,1,0.0856605
0,4,0,0.091294
0,4,1,0.0834603
0,5,0,0.0897094
0,5,1,0.0838838
0,6,0,0.0888087
0,6,1,0.0852721
0,7,0,0.0899258
0,7,1,0.0856112
0,8,0,0.0908496
0,8,1,0.0841717
0,9,0,0.0900346
0,9,1,0.0832734
0,10,0,0.0904129
0,10,1,0.0830452
0,11,0,0.0906322
0,11,1,0.0837466
0,12,0,0.0890725
0,12,1,0.0842192
0,13,0,0.0915147
0,13,1,0.0850803
0,14,0,0.0888087
0,14,1,0.0841674
0,15,0,0.0902485
0,15,1,0.0831336
1,0,0,0.0896579
1,0,1,0.0848376
1,1,0,0.0904129
1,1,1,0.0854182
1,2,0,0.0920797
1,2,1,0.084883
1,3,0,0.0891759
1,3,1,0.0839289
1,4,0,0.0907426
1,4,1,0.0835533
1,5,0,0.0911831
1,5,1,0.085271
1,6,0,0.0918526
1,6,1,0.0840265
1,7,0,0.091294
1,7,1,0.0852721
1,8,0,0.0897636
1,8,1,0.084883
1,9,0,0.0893372
1,9,1,0.0836942
1,10,0,0.0920797
1,10,1,0.0834603
1,11,0,0.0918526
1,11,1,0.0856112
1,12,0,0.0893372
1,12,1,0.0832724
1,13,0,0.0896579
1,13,1,0.0859568
1,14,0,0.0907967
1,14,1,0.0837466
1,15,0,0.0906322
1,15,1,0.0845979
2,0,0,0.0911267
2,0,1,0.0915174
2,1,0,0.0890174
2,1,1,0.0923039
2,2,0,0.0908496
2,2,1,0.0925893
2,3,0,0.0890174
2,3,1,0.0901391
2,4,0,0.0898703
2,4,1,0.0919052
2,5,0,0.0891231
2,5,1,0.0911267
2,6,0,0.0895492
2,6,1,0.0933386
2,7,0,0.0891755
2,7,1,0.0915147
2,8,0,0.0893372
2,8,1,0.0920797
2,9,0,0.0911267
2,9,1,0.0920797
2,10,0,0.0900342
2,10,1,0.0924175
2,11,0,0.0911831
2,11,1,0.090908
2,12,0,0.0907967
2,12,1,0.0924739
2,13,0,0.0891231
2,13,1,0.0913503
2,14,0,0.0911267
2,14,1,0.0923039
2,15,0,0.0907426
2,15,1,0.0916835
3,0,0,0.0904142
3,0,1,0.0899793
3,1,0,0.0904129
3,1,1,0.0872573
3,2,0,0.0916609
3,2,1,0.0895492
3,3,0,0.0898703
3,3,1,0.0921324
3,4,0,0.0897636
3,4,1,0.0894976
3,5,0,0.0907972
3,5,1,0.0900346
3,6,0,0.091683
3,6,1,0.0891759
3,7,0,0.0917959
3,7,1,0.0895492
3,8,0,0.0895492
3,8,1,0.0895492
3,9,0,0.0905227
3,9,1,0.0908496
3,10,0,0.0895492
3,10,1,0.0908496
3,11,0,0.0897094
3,11,1,0.0911267
3,12,0,0.0920755
3,12,1,0.0911267
3,13,0,0.0904129
3,13,1,0.0895492
3,14,0,0.0899219
3,14,1,0.0891759
3,15,0,0.0884402
3,15,1,0.0907426
4,0,0,0.0915174
4,0,1,0.0895492
4,1,0,0.0906313
4,1,1,0.0890174
4,2,0,0.0924743
4,2,1,0.0909602
4,3,0,0.0904129
4,3,1,0.0892297
4,4,0,0.0917959
4,4,1,0.090197
4,5,0,0.0921324
4,5,1,0.0895492
4,6,0,0.0911267
4,6,1,0.0899793
4,7,0,0.0907426
4,7,1,0.0900346
4,8,0,0.0921033
4,8,1,0.0876147
4,9,0,0.091461
4,9,1,0.0896579
4,10,0,0.0898703
4,10,1,0.0890174
4,11,0,0.0896579
4,11,1,0.0890725
4,12,0,0.0895492
4,12,1,0.0891759
4,13,0,0.0905227
4,13,1,0.0911831
4,14,0,0.0923039
4,14,1,0.0885448
4,15,0,0.091294
4,15,1,0.0904129
5,0,0,0.0900346
5,0,1,0.0885975
5,1,0,0.0883381
5,1,1,0.0905227
5,2,0,0.0911831
5,2,1,0.0889138
5,3,0,0.0888087
5,3,1,0.089925
5,4,0,0.0898703
5,4,1,0.0888087
5,5,0,0.0887551
5,5,1,0.0905227
5,6,0,0.090197
5,6,1,0.0892297
5,7,0,0.0900346
5,7,1,0.0890725
5,8,0,0.0905227
5,8,1,0.0886466
5,9,0,0.0900342
5,9,1,0.090197
5,10,0,0.0893372
5,10,1,0.0900346
5,11,0,0.0911831
5,11,1,0.0879745
5,12,0,0.0913503
5,12,1,0.0880777
5,13,0,0.0907967
5,13,1,0.0899258
5,14,0,0.090908
5,14,1,0.0895492
5,15,0,0.0906322
5,15,1,0.0904129
6,0,0,0.0870024
6,0,1,0.0891759
6,1,0,0.0871551
6,1,1,0.0890174
6,2,0,0.0850803
6,2,1,0.0890174
6,3,0,0.0868035
6,3,1,0.0866019
6,4,0,0.0871042
6,4,1,0.0916835
6,5,0,0.0869545
6,5,1,0.0880777
6,6,0,0.0869049
6,6,1,0.0882832
6,7,0,0.0865538
6,7,1,0.0904129
6,8,0,0.0854185
6,8,1,0.0900346
6,9,0,0.0865538
6,9,1,0.0900342
6,10,0,0.0869049
6,10,1,0.0892819
6,11,0,0.0857607
6,11,1,0.0895492
6,12,0,0.0865538
6,12,1,0.0900342
6,13,0,0.086255
6,13,1,0.0882856
6,14,0,0.0869049
6,14,1,0.0885975
6,15,0,0.0876151
6,15,1,0.0898703
7,0,0,0.0864526
7,0,1,0.0895492
7,1,0,0.0859568
7,1,1,0.0903031
7,2,0,0.0877671
7,2,1,0.0895492
7,3,0,0.0874615
7,3,1,0.0889138
7,4,0,0.0861046
7,4,1,0.0895492
7,5,0,0.0877671
7,5,1,0.0899219
7,6,0,0.0864045
7,6,1,0.0882856
7,7,0,0.0894976
7,7,1,0.0888087
7,8,0,0.0869049
7,8,1,0.0895492
7,9,0,0.0864526
7,9,1,0.0895492
7,10,0,0.0869049
7,10,1,0.0893372
7,11,0,0.0868035
7,11,1,0.0911831
7,12,0,0.0872573
7,12,1,0.0906313
7,13,0,0.0859568
7,13,1,0.0888087
7,14,0,0.0869045
7,14,1,0.0897636
7,15,0,0.0866524
7,15,1,0.0893372
8,0,0,0.0896579
8,0,1,0.0904129
8,1,0,0.0888087
8,1,1,0.087922
8,2,0,0.0894976
8,2,1,0.0916835
8,3,0,0.0877671
8,3,1,0.0904142
8,4,0,0.0895492
8,4,1,0.0877183
8,5,0,0.0884402
8,5,1,0.0885975
8,6,0,0.0880777
8,6,1,0.0868035
8,7,0,0.0891759
8,7,1,0.0895492
8,8,0,0.0884402
8,8,1,0.0900346
8,9,0,0.0879745
8,9,1,0.089925
8,10,0,0.0896579
8,10,1,0.0915174
8,11,0,0.0884402
8,11,1,0.0909602
8,12,0,0.0885975
8,12,1,0.0873596
8,13,0,0.088805
8,13,1,0.0899258
8,14,0,0.0882832
8,14,1,0.0905227
8,15,0,0.090197
8,15,1,0.0893372
